"Id","Name","countryName","century","continentName","gender","domain"
8785,"George Clinton","UNITED STATES",1700,"NORTH AMERICA","Male","INSTITUTIONS"
8786,"James K. Polk","UNITED STATES",1700,"NORTH AMERICA","Male","INSTITUTIONS"
8787,"Jeff Hardy","UNITED STATES",1900,"NORTH AMERICA","Male","SPORTS"
8788,"John Coltrane","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
8789,"John Isner","UNITED STATES",1900,"NORTH AMERICA","Male","SPORTS"
8790,"O. Henry","UNITED STATES",1800,"NORTH AMERICA","Male","HUMANITIES"
8791,"William R. King","UNITED STATES",1700,"NORTH AMERICA","Male","INSTITUTIONS"
8792,"Josh Duhamel","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
8793,"Kellan Lutz","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
8794,"Sitting Bull","UNITED STATES",1800,"NORTH AMERICA","Male","INSTITUTIONS"
8795,"Wiz Khalifa","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
8796,"George Wells Beadle","UNITED STATES",1900,"NORTH AMERICA","Male","SCIENCE"
8797,"Harold Lloyd","UNITED STATES",1800,"NORTH AMERICA","Male","ARTS"
8798,"Henry Fonda","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
8799,"L. Ron Hubbard","UNITED STATES",1900,"NORTH AMERICA","Male","HUMANITIES"
8800,"Malcolm X","UNITED STATES",1900,"NORTH AMERICA","Male","PUBLIC FIGURE"
8801,"Val Logsdon Fitch","UNITED STATES",1900,"NORTH AMERICA","Male","SCIENCE"
8802,"Alan Shepard","UNITED STATES",1900,"NORTH AMERICA","Male","EXPLORATION"
8803,"Charles Greeley Abbot","UNITED STATES",1800,"NORTH AMERICA","Male","SCIENCE"
8804,"Dan Brown","UNITED STATES",1900,"NORTH AMERICA","Male","HUMANITIES"
8805,"John Irving","UNITED STATES",1900,"NORTH AMERICA","Male","HUMANITIES"
8806,"Ronnie James Dio","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
8807,"Ashley Tisdale","UNITED STATES",1900,"NORTH AMERICA","Female","ARTS"
8808,"Bruce Springsteen","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
8809,"Bud Abbott","UNITED STATES",1800,"NORTH AMERICA","Male","ARTS"
8810,"Buzz Aldrin","UNITED STATES",1900,"NORTH AMERICA","Male","EXPLORATION"
8811,"Danny DeVito","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
8812,"David Bryan","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
